source,prediction,detector,native,model,id
AI,Human,Sapling,NA,GPT4,154
AI,Human,Crossplag,NA,GPT4,523
AI,Human,OriginalityAI,NA,GPT4,726
Human,Human,OriginalityAI,Yes,Human,765
Human,Human,GPTZero,Yes,Human,289
AI,AI,Sapling,NA,GPT4,321
AI,Human,ZeroGPT,NA,GPT4,712
Human,AI,Quil,No,Human,352
AI,Human,ZeroGPT,NA,GPT4,437
AI,AI,Sapling,NA,GPT3,211
AI,Human,HFOpenAI,NA,GPT4,710
AI,Human,GPTZero,NA,GPT4,609
AI,AI,Crossplag,NA,GPT4,697
AI,AI,Quil,NA,GPT4,602
AI,AI,OriginalityAI,NA,GPT4,530
Human,Human,ZeroGPT,Yes,Human,49
Human,Human,HFOpenAI,Yes,Human,290
AI,AI,ZeroGPT,NA,GPT3,580
AI,AI,Sapling,NA,GPT4,504
Human,Human,ZeroGPT,Yes,Human,829
AI,Human,OriginalityAI,NA,GPT4,698
AI,AI,OriginalityAI,NA,GPT4,140
Human,AI,Sapling,No,Human,351
AI,Human,GPTZero,NA,GPT4,109
AI,Human,Quil,NA,GPT3,9
AI,Human,HFOpenAI,NA,GPT4,428
Human,Human,ZeroGPT,No,Human,332
Human,Human,Sapling,Yes,Human,86
AI,AI,Sapling,NA,GPT3,522
Human,Human,OriginalityAI,Yes,Human,839
AI,Human,Crossplag,NA,GPT4,167
AI,Human,Crossplag,NA,GPT4,140
AI,AI,OriginalityAI,NA,GPT3,575
AI,Human,ZeroGPT,NA,GPT3,629
AI,Human,Sapling,NA,GPT4,556
AI,Human,ZeroGPT,NA,GPT3,2
Human,Human,HFOpenAI,No,Human,459
AI,Human,Sapling,NA,GPT4,411
AI,Human,HFOpenAI,NA,GPT4,411
AI,AI,OriginalityAI,NA,GPT4,123
Human,Human,HFOpenAI,Yes,Human,830
AI,Human,ZeroGPT,NA,GPT3,656
AI,Human,Crossplag,NA,GPT3,27
AI,AI,Sapling,NA,GPT4,530
Human,Human,OriginalityAI,Yes,Human,754
AI,Human,HFOpenAI,NA,GPT4,167
Human,Human,GPTZero,Yes,Human,733
Human,AI,ZeroGPT,No,Human,262
AI,Human,GPTZero,NA,GPT4,559
AI,Human,Crossplag,NA,GPT3,700
Human,Human,GPTZero,Yes,Human,915
AI,AI,HFOpenAI,NA,GPT3,905
AI,Human,Sapling,NA,GPT3,610
Human,Human,GPTZero,No,Human,216
AI,AI,Quil,NA,GPT4,660
AI,Human,OriginalityAI,NA,GPT4,635
Human,Human,HFOpenAI,Yes,Human,829
Human,AI,HFOpenAI,No,Human,334
Human,Human,ZeroGPT,Yes,Human,193
AI,Human,Quil,NA,GPT3,512
AI,Human,GPTZero,NA,GPT4,726
AI,Human,Sapling,NA,GPT4,131
AI,AI,HFOpenAI,NA,GPT3,593
AI,AI,Crossplag,NA,GPT4,199
AI,Human,ZeroGPT,NA,GPT3,672
AI,Human,Sapling,NA,GPT4,558
AI,Human,ZeroGPT,NA,GPT4,624
AI,AI,HFOpenAI,NA,GPT3,571
AI,Human,ZeroGPT,NA,GPT3,589
Human,Human,Sapling,Yes,Human,183
AI,Human,Sapling,NA,GPT4,447
AI,Human,Crossplag,NA,GPT3,205
AI,AI,HFOpenAI,NA,GPT3,535
AI,Human,OriginalityAI,NA,GPT3,700
Human,Human,ZeroGPT,Yes,Human,817
AI,Human,Sapling,NA,GPT4,681
Human,Human,HFOpenAI,Yes,Human,853
AI,Human,OriginalityAI,NA,GPT3,27
AI,Human,Sapling,NA,GPT4,724
Human,Human,ZeroGPT,Yes,Human,176
AI,AI,Quil,NA,GPT3,71
AI,AI,HFOpenAI,NA,GPT4,394
AI,Human,Crossplag,NA,GPT4,711
Human,Human,Quil,Yes,Human,417
AI,AI,Crossplag,NA,GPT4,318
Human,Human,HFOpenAI,Yes,Human,783
AI,AI,HFOpenAI,NA,GPT3,8
Human,Human,HFOpenAI,Yes,Human,904
Human,Human,ZeroGPT,Yes,Human,128
AI,Human,Sapling,NA,GPT4,463
Human,Human,HFOpenAI,Yes,Human,164
Human,Human,Crossplag,Yes,Human,237
AI,Human,HFOpenAI,NA,GPT4,179
AI,Human,HFOpenAI,NA,GPT3,570
AI,Human,Quil,NA,GPT3,61
Human,Human,Crossplag,Yes,Human,880
AI,Human,ZeroGPT,NA,GPT4,54
Human,Human,OriginalityAI,Yes,Human,788
AI,Human,Sapling,NA,GPT4,257
Human,Human,OriginalityAI,Yes,Human,868
Human,Human,HFOpenAI,Yes,Human,485
Human,Human,OriginalityAI,Yes,Human,785
Human,Human,OriginalityAI,Yes,Human,857
Human,AI,OriginalityAI,Yes,Human,755
Human,Human,Quil,No,Human,390
AI,Human,ZeroGPT,NA,GPT4,253
AI,Human,Sapling,NA,GPT4,505
Human,Human,ZeroGPT,Yes,Human,917
AI,Human,Crossplag,NA,GPT4,186
AI,Human,ZeroGPT,NA,GPT4,288
AI,Human,OriginalityAI,NA,GPT3,42
AI,AI,Crossplag,NA,GPT3,730
Human,Human,HFOpenAI,Yes,Human,273
Human,AI,HFOpenAI,No,Human,899
Human,Human,ZeroGPT,Yes,Human,212
AI,Human,GPTZero,NA,GPT3,596
AI,Human,HFOpenAI,NA,GPT4,286
AI,AI,OriginalityAI,NA,GPT4,528
AI,AI,ZeroGPT,NA,GPT4,236
Human,AI,ZeroGPT,No,Human,525
Human,Human,GPTZero,Yes,Human,882
AI,Human,Crossplag,NA,GPT3,893
Human,Human,Quil,Yes,Human,348
AI,Human,ZeroGPT,NA,GPT3,29
AI,Human,GPTZero,NA,GPT4,178
Human,Human,HFOpenAI,Yes,Human,222
Human,Human,ZeroGPT,Yes,Human,777
AI,AI,GPTZero,NA,GPT4,230
Human,AI,Sapling,No,Human,70
Human,Human,OriginalityAI,No,Human,908
Human,Human,GPTZero,Yes,Human,44
Human,AI,ZeroGPT,No,Human,275
Human,Human,OriginalityAI,Yes,Human,209
AI,Human,Sapling,NA,GPT4,346
AI,Human,Sapling,NA,GPT3,897
Human,AI,Quil,Yes,Human,128
AI,Human,GPTZero,NA,GPT4,695
AI,AI,OriginalityAI,NA,GPT4,168
Human,Human,HFOpenAI,Yes,Human,882
Human,Human,GPTZero,Yes,Human,313
Human,Human,Crossplag,No,Human,260
Human,Human,OriginalityAI,Yes,Human,365
Human,AI,HFOpenAI,No,Human,306
Human,Human,OriginalityAI,Yes,Human,771
AI,Human,ZeroGPT,NA,GPT4,668
Human,Human,GPTZero,Yes,Human,190
AI,Human,Crossplag,NA,GPT4,268
AI,Human,Sapling,NA,GPT4,725
AI,Human,ZeroGPT,NA,GPT4,554
Human,Human,Crossplag,Yes,Human,735
AI,Human,ZeroGPT,NA,GPT4,401
AI,Human,ZeroGPT,NA,GPT3,382
AI,Human,GPTZero,NA,GPT4,155
AI,Human,Quil,NA,GPT3,420
AI,Human,Sapling,NA,GPT4,206
Human,Human,HFOpenAI,Yes,Human,46
Human,Human,Crossplag,Yes,Human,764
AI,AI,Sapling,NA,GPT3,13
AI,Human,Crossplag,NA,GPT4,257
Human,Human,ZeroGPT,No,Human,300
AI,Human,GPTZero,NA,GPT4,312
AI,Human,HFOpenAI,NA,GPT3,575
AI,AI,GPTZero,NA,GPT4,159
Human,Human,Sapling,Yes,Human,241
Human,Human,OriginalityAI,Yes,Human,391
AI,Human,HFOpenAI,NA,GPT3,9
AI,AI,Quil,NA,GPT3,515
Human,Human,GPTZero,Yes,Human,752
AI,Human,HFOpenAI,NA,GPT4,526
AI,Human,GPTZero,NA,GPT4,380
Human,Human,HFOpenAI,Yes,Human,165
Human,Human,HFOpenAI,No,Human,910
AI,AI,Sapling,NA,GPT3,568
Human,AI,Crossplag,No,Human,431
Human,Human,HFOpenAI,Yes,Human,846
Human,Human,Crossplag,Yes,Human,292
AI,Human,HFOpenAI,NA,GPT4,489
AI,AI,Crossplag,NA,GPT4,139
Human,Human,Quil,Yes,Human,151
AI,Human,Quil,NA,GPT4,283
Human,AI,Sapling,No,Human,323
Human,Human,Quil,Yes,Human,413
Human,AI,HFOpenAI,No,Human,545
Human,Human,OriginalityAI,Yes,Human,185
AI,Human,GPTZero,NA,GPT4,697
AI,Human,Quil,NA,GPT3,409
AI,Human,HFOpenAI,NA,GPT3,24
AI,AI,ZeroGPT,NA,GPT3,72
AI,Human,OriginalityAI,NA,GPT4,527
Human,Human,Sapling,Yes,Human,412
Human,Human,GPTZero,No,Human,323
AI,Human,HFOpenAI,NA,GPT4,714
Human,Human,Crossplag,Yes,Human,209
AI,Human,HFOpenAI,NA,GPT3,897
AI,Human,ZeroGPT,NA,GPT4,710
Human,Human,Quil,Yes,Human,110
AI,Human,ZeroGPT,NA,GPT4,121
AI,AI,ZeroGPT,NA,GPT3,315
AI,Human,HFOpenAI,NA,GPT4,718
AI,Human,Quil,NA,GPT4,363
AI,Human,Crossplag,NA,GPT4,261
AI,Human,ZeroGPT,NA,GPT3,385
Human,Human,Crossplag,Yes,Human,115
AI,Human,Quil,NA,GPT4,80
Human,Human,OriginalityAI,Yes,Human,756
Human,Human,Sapling,Yes,Human,347
AI,Human,HFOpenAI,NA,GPT4,235
AI,AI,GPTZero,NA,GPT3,461
AI,AI,OriginalityAI,NA,GPT4,712
AI,AI,Quil,NA,GPT4,228
AI,AI,GPTZero,NA,GPT3,204
AI,Human,OriginalityAI,NA,GPT4,592
AI,Human,ZeroGPT,NA,GPT4,559
AI,AI,Quil,NA,GPT4,427
AI,AI,OriginalityAI,NA,GPT4,84
AI,AI,HFOpenAI,NA,GPT4,254
Human,Human,Quil,Yes,Human,269
Human,Human,ZeroGPT,Yes,Human,240
AI,Human,GPTZero,NA,GPT3,576
Human,Human,HFOpenAI,No,Human,264
Human,Human,ZeroGPT,Yes,Human,119
Human,Human,ZeroGPT,Yes,Human,869
AI,Human,ZeroGPT,NA,GPT3,368
Human,AI,Crossplag,Yes,Human,817
Human,Human,HFOpenAI,Yes,Human,295
Human,Human,GPTZero,No,Human,300
AI,Human,Quil,NA,GPT3,211
Human,Human,HFOpenAI,Yes,Human,49
Human,Human,HFOpenAI,Yes,Human,116
AI,Human,Sapling,NA,GPT4,491
Human,AI,GPTZero,No,Human,249
AI,Human,Sapling,NA,GPT3,678
AI,AI,HFOpenAI,NA,GPT4,178
Human,Human,OriginalityAI,Yes,Human,783
AI,AI,HFOpenAI,NA,GPT3,71
Human,AI,Sapling,No,Human,899
Human,Human,HFOpenAI,Yes,Human,180
Human,Human,HFOpenAI,Yes,Human,889
AI,AI,ZeroGPT,NA,GPT3,731
AI,Human,GPTZero,NA,GPT4,369
AI,AI,OriginalityAI,NA,GPT4,475
AI,AI,HFOpenAI,NA,GPT3,565
Human,Human,Sapling,Yes,Human,888
AI,Human,HFOpenAI,NA,GPT4,213
AI,Human,OriginalityAI,NA,GPT4,555
AI,Human,Crossplag,NA,GPT4,530
AI,AI,GPTZero,NA,GPT3,615
Human,Human,OriginalityAI,Yes,Human,174
Human,Human,HFOpenAI,Yes,Human,328
AI,Human,GPTZero,NA,GPT4,375
AI,AI,Crossplag,NA,GPT3,636
AI,Human,GPTZero,NA,GPT4,513
AI,Human,OriginalityAI,NA,GPT4,680
Human,Human,OriginalityAI,Yes,Human,816
AI,Human,OriginalityAI,NA,GPT4,261
AI,Human,HFOpenAI,NA,GPT4,206
Human,Human,Crossplag,Yes,Human,863
AI,Human,ZeroGPT,NA,GPT3,7
AI,Human,Quil,NA,GPT4,454
AI,Human,Sapling,NA,GPT4,253
AI,Human,OriginalityAI,NA,GPT4,489
Human,Human,GPTZero,Yes,Human,887
AI,Human,HFOpenAI,NA,GPT3,444
AI,Human,OriginalityAI,NA,GPT3,906
AI,Human,ZeroGPT,NA,GPT4,186
AI,Human,GPTZero,NA,GPT4,498
AI,Human,OriginalityAI,NA,GPT4,650
AI,Human,Sapling,NA,GPT4,492
AI,AI,HFOpenAI,NA,GPT4,114
AI,Human,HFOpenAI,NA,GPT3,704
Human,Human,HFOpenAI,Yes,Human,359
AI,Human,Sapling,NA,GPT3,692
Human,Human,GPTZero,Yes,Human,837
AI,Human,Crossplag,NA,GPT4,607
Human,AI,GPTZero,No,Human,214
Human,Human,ZeroGPT,Yes,Human,402
Human,Human,Sapling,No,Human,75
Human,Human,Crossplag,Yes,Human,873
Human,Human,HFOpenAI,Yes,Human,839
AI,Human,Quil,NA,GPT4,441
AI,AI,ZeroGPT,NA,GPT3,628
AI,AI,HFOpenAI,NA,GPT3,515
AI,Human,Crossplag,NA,GPT4,380
AI,AI,OriginalityAI,NA,GPT3,468
Human,Human,Crossplag,Yes,Human,805
Human,Human,HFOpenAI,No,Human,418
AI,Human,GPTZero,NA,GPT4,516
AI,Human,ZeroGPT,NA,GPT4,85
Human,Human,HFOpenAI,Yes,Human,412
AI,Human,OriginalityAI,NA,GPT4,286
Human,Human,HFOpenAI,Yes,Human,758
AI,Human,ZeroGPT,NA,GPT4,298
AI,Human,ZeroGPT,NA,GPT4,353
Human,Human,HFOpenAI,Yes,Human,396
AI,Human,Quil,NA,GPT3,60
AI,Human,ZeroGPT,NA,GPT4,600
Human,Human,Crossplag,Yes,Human,59
Human,Human,ZeroGPT,No,Human,304
Human,Human,Quil,Yes,Human,115
AI,AI,Sapling,NA,GPT3,482
Human,Human,HFOpenAI,Yes,Human,135
Human,AI,OriginalityAI,No,Human,418
AI,AI,OriginalityAI,NA,GPT4,129
Human,AI,HFOpenAI,Yes,Human,89
AI,Human,ZeroGPT,NA,GPT3,18
Human,Human,GPTZero,Yes,Human,143
Human,Human,ZeroGPT,Yes,Human,144
AI,Human,ZeroGPT,NA,GPT4,499
Human,Human,HFOpenAI,Yes,Human,112
AI,Human,GPTZero,NA,GPT3,74
AI,Human,Quil,NA,GPT3,11
AI,Human,Crossplag,NA,GPT4,921
Human,Human,GPTZero,Yes,Human,132
Human,Human,Crossplag,Yes,Human,852
AI,Human,ZeroGPT,NA,GPT4,669
AI,Human,Quil,NA,GPT4,483
Human,Human,ZeroGPT,Yes,Human,839
AI,Human,Crossplag,NA,GPT4,56
Human,Human,HFOpenAI,Yes,Human,890
AI,Human,ZeroGPT,NA,GPT4,369
AI,Human,HFOpenAI,NA,GPT3,678
AI,AI,GPTZero,NA,GPT4,136
AI,Human,ZeroGPT,NA,GPT4,680
AI,AI,Quil,NA,GPT4,52
AI,AI,GPTZero,NA,GPT3,906
Human,Human,Crossplag,Yes,Human,847
AI,Human,Quil,NA,GPT3,892
AI,Human,Quil,NA,GPT4,376
Human,Human,GPTZero,Yes,Human,740
AI,Human,Sapling,NA,GPT3,732
AI,Human,ZeroGPT,NA,GPT4,440
AI,Human,OriginalityAI,NA,GPT3,452
Human,Human,OriginalityAI,Yes,Human,776
AI,Human,GPTZero,NA,GPT4,673
Human,AI,OriginalityAI,No,Human,274
AI,Human,Quil,NA,GPT3,27
AI,Human,Quil,NA,GPT3,918
AI,Human,ZeroGPT,NA,GPT3,452
AI,Human,ZeroGPT,NA,GPT3,700
AI,Human,GPTZero,NA,GPT3,640
AI,Human,Quil,NA,GPT4,603
AI,Human,Quil,NA,GPT4,85
AI,Human,Quil,NA,GPT3,896
AI,Human,Crossplag,NA,GPT4,213
AI,Human,OriginalityAI,NA,GPT4,655
Human,Human,ZeroGPT,Yes,Human,181
AI,AI,Crossplag,NA,GPT3,67
AI,Human,Crossplag,NA,GPT4,681
AI,Human,HFOpenAI,NA,GPT4,922
Human,AI,Quil,No,Human,908
Human,Human,Sapling,Yes,Human,181
Human,Human,Crossplag,Yes,Human,784
AI,Human,GPTZero,NA,GPT4,923
AI,Human,Crossplag,NA,GPT4,285
Human,Human,GPTZero,Yes,Human,209
AI,Human,HFOpenAI,NA,GPT3,387
Human,AI,Quil,Yes,Human,466
Human,Human,GPTZero,Yes,Human,290
Human,AI,ZeroGPT,No,Human,267
Human,Human,OriginalityAI,Yes,Human,540
Human,Human,HFOpenAI,Yes,Human,844
Human,Human,ZeroGPT,No,Human,431
AI,Human,Quil,NA,GPT4,113
AI,AI,OriginalityAI,NA,GPT4,318
AI,Human,Quil,NA,GPT3,584
Human,Human,GPTZero,Yes,Human,829
Human,AI,GPTZero,No,Human,495
Human,Human,Crossplag,Yes,Human,314
AI,Human,Crossplag,NA,GPT3,69
AI,AI,HFOpenAI,NA,GPT4,721
Human,AI,Quil,No,Human,70
Human,Human,OriginalityAI,Yes,Human,141
AI,Human,GPTZero,NA,GPT4,425
Human,AI,Quil,No,Human,324
AI,AI,GPTZero,NA,GPT4,87
Human,Human,HFOpenAI,Yes,Human,44
AI,Human,Quil,NA,GPT4,476
Human,AI,HFOpenAI,No,Human,351
AI,Human,Sapling,NA,GPT4,554
Human,AI,Quil,No,Human,349
AI,Human,HFOpenAI,NA,GPT4,186
AI,Human,OriginalityAI,NA,GPT3,907
Human,AI,OriginalityAI,No,Human,490
AI,Human,Quil,NA,GPT4,643
AI,Human,GPTZero,NA,GPT4,506
AI,Human,Sapling,NA,GPT3,630
AI,Human,GPTZero,NA,GPT4,597
AI,Human,HFOpenAI,NA,GPT3,464
AI,AI,OriginalityAI,NA,GPT3,678
AI,AI,OriginalityAI,NA,GPT3,33
Human,Human,GPTZero,Yes,Human,212
AI,Human,OriginalityAI,NA,GPT4,433
Human,AI,Sapling,No,Human,467
AI,AI,Quil,NA,GPT3,567
Human,Human,Crossplag,Yes,Human,290
AI,Human,Quil,NA,GPT4,503
Human,AI,ZeroGPT,No,Human,76
AI,Human,HFOpenAI,NA,GPT3,22
AI,Human,HFOpenAI,NA,GPT4,272
Human,Human,Crossplag,Yes,Human,915
Human,Human,ZeroGPT,Yes,Human,395
Human,Human,ZeroGPT,Yes,Human,748
Human,AI,OriginalityAI,No,Human,214
Human,Human,Quil,Yes,Human,49
AI,Human,OriginalityAI,NA,GPT4,309
AI,AI,GPTZero,NA,GPT3,538
Human,AI,Crossplag,No,Human,544
AI,AI,OriginalityAI,NA,GPT3,661
Human,Human,ZeroGPT,Yes,Human,50
AI,AI,Crossplag,NA,GPT3,641
Human,Human,ZeroGPT,No,Human,450
AI,Human,HFOpenAI,NA,GPT4,91
AI,AI,Sapling,NA,GPT3,37
Human,Human,OriginalityAI,Yes,Human,108
AI,Human,Quil,NA,GPT4,646
Human,AI,ZeroGPT,No,Human,333
Human,Human,ZeroGPT,Yes,Human,850
Human,Human,ZeroGPT,Yes,Human,852
AI,AI,Quil,NA,GPT3,691
AI,Human,Crossplag,NA,GPT4,673
Human,Human,GPTZero,Yes,Human,809
Human,Human,Sapling,No,Human,307
AI,Human,Sapling,NA,GPT4,597
Human,Human,HFOpenAI,Yes,Human,875
AI,Human,HFOpenAI,NA,GPT3,40
AI,Human,OriginalityAI,NA,GPT3,74
Human,Human,ZeroGPT,Yes,Human,847
Human,AI,GPTZero,No,Human,301
Human,Human,Crossplag,No,Human,370
AI,Human,GPTZero,NA,GPT3,574
AI,Human,ZeroGPT,NA,GPT4,514
AI,AI,Quil,NA,GPT3,661
AI,Human,OriginalityAI,NA,GPT4,414
AI,AI,OriginalityAI,NA,GPT3,442
Human,Human,HFOpenAI,Yes,Human,858
Human,Human,ZeroGPT,No,Human,398
Human,Human,ZeroGPT,Yes,Human,763
AI,Human,Crossplag,NA,GPT4,131
AI,AI,GPTZero,NA,GPT3,531
AI,Human,Crossplag,NA,GPT4,287
AI,Human,Sapling,NA,GPT4,727
AI,Human,GPTZero,NA,GPT4,231
AI,Human,Sapling,NA,GPT3,23
AI,AI,Crossplag,NA,GPT3,493
AI,Human,ZeroGPT,NA,GPT4,83
AI,Human,HFOpenAI,NA,GPT4,480
AI,AI,OriginalityAI,NA,GPT4,434
Human,AI,Crossplag,No,Human,70
AI,Human,Quil,NA,GPT4,321
Human,Human,GPTZero,Yes,Human,141
Human,Human,Sapling,Yes,Human,150
AI,AI,GPTZero,NA,GPT4,96
AI,AI,Sapling,NA,GPT3,38
Human,Human,Crossplag,Yes,Human,858
AI,Human,OriginalityAI,NA,GPT3,704
Human,AI,ZeroGPT,No,Human,534
AI,Human,HFOpenAI,NA,GPT3,201
AI,AI,Quil,NA,GPT3,587
AI,Human,Sapling,NA,GPT4,232
AI,Human,HFOpenAI,NA,GPT4,140
Human,Human,ZeroGPT,Yes,Human,862
AI,Human,ZeroGPT,NA,GPT4,511
AI,Human,Sapling,NA,GPT3,28
Human,Human,GPTZero,Yes,Human,760
Human,Human,Crossplag,No,Human,263
Human,Human,Quil,Yes,Human,175
AI,Human,ZeroGPT,NA,GPT4,517
AI,AI,Crossplag,NA,GPT4,553
Human,Human,ZeroGPT,Yes,Human,766
AI,AI,Sapling,NA,GPT3,584
AI,Human,ZeroGPT,NA,GPT3,33
AI,Human,ZeroGPT,NA,GPT4,235
AI,Human,ZeroGPT,NA,GPT4,265
AI,AI,GPTZero,NA,GPT4,399
AI,Human,GPTZero,NA,GPT4,172
AI,Human,OriginalityAI,NA,GPT3,584
Human,Human,GPTZero,Yes,Human,781
AI,Human,Quil,NA,GPT4,92
Human,Human,Sapling,Yes,Human,51
Human,Human,ZeroGPT,No,Human,259
Human,AI,Crossplag,No,Human,267
AI,Human,GPTZero,NA,GPT3,15
Human,Human,Sapling,Yes,Human,269
AI,Human,ZeroGPT,NA,GPT4,358
AI,Human,HFOpenAI,NA,GPT4,270
Human,AI,Quil,No,Human,310
Human,Human,OriginalityAI,Yes,Human,237
AI,Human,HFOpenAI,NA,GPT4,713
AI,Human,Quil,NA,GPT3,638
Human,Human,HFOpenAI,Yes,Human,413
AI,Human,Sapling,NA,GPT4,710
Human,Human,Crossplag,Yes,Human,827
AI,AI,ZeroGPT,NA,GPT3,636
AI,AI,Sapling,NA,GPT4,155
Human,Human,ZeroGPT,Yes,Human,769
Human,AI,ZeroGPT,No,Human,242
Human,Human,ZeroGPT,Yes,Human,413
Human,Human,Sapling,Yes,Human,141
AI,Human,Sapling,NA,GPT4,207
AI,AI,OriginalityAI,NA,GPT4,513
Human,Human,GPTZero,Yes,Human,183
Human,Human,Crossplag,Yes,Human,820
Human,Human,GPTZero,Yes,Human,130
Human,Human,OriginalityAI,Yes,Human,269
AI,Human,Crossplag,NA,GPT3,384
Human,Human,Crossplag,Yes,Human,832
AI,AI,Sapling,NA,GPT4,341
Human,Human,ZeroGPT,Yes,Human,147
AI,AI,HFOpenAI,NA,GPT3,16
AI,Human,Crossplag,NA,GPT3,619
Human,Human,Quil,Yes,Human,294
Human,Human,OriginalityAI,Yes,Human,796
AI,Human,HFOpenAI,NA,GPT3,671
AI,Human,Crossplag,NA,GPT4,330
Human,Human,HFOpenAI,Yes,Human,762
AI,Human,HFOpenAI,NA,GPT4,665
Human,Human,Sapling,Yes,Human,117
Human,Human,Quil,Yes,Human,111
Human,AI,Quil,No,Human,351
AI,Human,Sapling,NA,GPT4,152
Human,Human,Crossplag,Yes,Human,796
Human,Human,Crossplag,Yes,Human,808
AI,AI,OriginalityAI,NA,GPT4,410
AI,AI,ZeroGPT,NA,GPT4,134
Human,AI,GPTZero,No,Human,545
Human,Human,Crossplag,No,Human,344
AI,AI,OriginalityAI,NA,GPT4,121
Human,Human,Crossplag,No,Human,214
AI,AI,OriginalityAI,NA,GPT3,573
Human,Human,Crossplag,No,Human,543
AI,Human,OriginalityAI,NA,GPT4,665
AI,AI,HFOpenAI,NA,GPT3,701
AI,AI,ZeroGPT,NA,GPT4,138
AI,AI,Quil,NA,GPT4,553
Human,Human,Crossplag,Yes,Human,486
Human,Human,GPTZero,No,Human,377
AI,Human,OriginalityAI,NA,GPT4,611
Human,Human,OriginalityAI,No,Human,884
Human,AI,Sapling,Yes,Human,194
AI,AI,Quil,NA,GPT3,634
AI,Human,GPTZero,NA,GPT4,717
AI,Human,GPTZero,NA,GPT3,692
AI,AI,Quil,NA,GPT3,18
AI,AI,Quil,NA,GPT3,522
Human,Human,OriginalityAI,Yes,Human,281
Human,AI,GPTZero,Yes,Human,77
Human,Human,ZeroGPT,Yes,Human,424
AI,Human,HFOpenAI,NA,GPT4,674
AI,Human,Crossplag,NA,GPT3,897
AI,Human,ZeroGPT,NA,GPT3,384
Human,AI,Crossplag,Yes,Human,173
AI,AI,Crossplag,NA,GPT3,30
Human,Human,HFOpenAI,Yes,Human,738
AI,Human,ZeroGPT,NA,GPT3,383
AI,Human,ZeroGPT,NA,GPT4,251
AI,Human,HFOpenAI,NA,GPT4,207
AI,Human,OriginalityAI,NA,GPT3,387
Human,Human,HFOpenAI,Yes,Human,88
AI,AI,Quil,NA,GPT3,617
AI,AI,GPTZero,NA,GPT4,406
AI,AI,Quil,NA,GPT3,593
Human,Human,OriginalityAI,Yes,Human,158
Human,Human,HFOpenAI,Yes,Human,879
AI,Human,HFOpenAI,NA,GPT4,479
Human,Human,OriginalityAI,Yes,Human,871
Human,AI,Crossplag,No,Human,242
AI,Human,Quil,NA,GPT4,270
Human,Human,ZeroGPT,Yes,Human,115
Human,Human,OriginalityAI,Yes,Human,295
AI,AI,Crossplag,NA,GPT4,189
Human,Human,GPTZero,Yes,Human,438
AI,AI,OriginalityAI,NA,GPT3,422
AI,Human,ZeroGPT,NA,GPT3,676
Human,Human,HFOpenAI,Yes,Human,868
Human,Human,OriginalityAI,No,Human,349
AI,Human,Crossplag,NA,GPT4,272
Human,Human,OriginalityAI,Yes,Human,125
AI,Human,HFOpenAI,NA,GPT4,668
AI,Human,Quil,NA,GPT4,231
Human,Human,Crossplag,Yes,Human,776
AI,Human,Sapling,NA,GPT4,392
AI,Human,Crossplag,NA,GPT4,603
AI,AI,OriginalityAI,NA,GPT3,688
Human,AI,GPTZero,No,Human,262
Human,Human,Quil,Yes,Human,243
AI,Human,GPTZero,NA,GPT3,61
Human,AI,GPTZero,No,Human,274
Human,Human,GPTZero,Yes,Human,112
AI,Human,ZeroGPT,NA,GPT4,527
Human,Human,OriginalityAI,Yes,Human,843
AI,Human,HFOpenAI,NA,GPT4,433
AI,Human,ZeroGPT,NA,GPT4,475
AI,Human,ZeroGPT,NA,GPT4,681
Human,Human,HFOpenAI,Yes,Human,97
AI,Human,GPTZero,NA,GPT4,471
AI,Human,Crossplag,NA,GPT4,639
Human,Human,Crossplag,Yes,Human,904
AI,Human,ZeroGPT,NA,GPT4,80
Human,Human,ZeroGPT,No,Human,293
Human,Human,HFOpenAI,No,Human,901
Human,Human,ZeroGPT,Yes,Human,746
AI,Human,GPTZero,NA,GPT4,599
AI,Human,OriginalityAI,NA,GPT4,516
AI,Human,Sapling,NA,GPT4,626
Human,Human,Crossplag,Yes,Human,295
AI,AI,OriginalityAI,NA,GPT3,38
Human,Human,ZeroGPT,Yes,Human,818
Human,AI,GPTZero,No,Human,75
AI,Human,Quil,NA,GPT4,514
AI,Human,ZeroGPT,NA,GPT4,443
AI,Human,GPTZero,NA,GPT3,580
Human,Human,GPTZero,Yes,Human,107
AI,AI,OriginalityAI,NA,GPT3,15
AI,AI,HFOpenAI,NA,GPT3,633
Human,Human,OriginalityAI,Yes,Human,146
AI,Human,ZeroGPT,NA,GPT3,691
Human,Human,ZeroGPT,Yes,Human,417
Human,Human,GPTZero,No,Human,370
Human,Human,Crossplag,Yes,Human,842
Human,AI,Sapling,No,Human,276
AI,Human,Crossplag,NA,GPT3,671
AI,Human,Quil,NA,GPT3,205
AI,AI,OriginalityAI,NA,GPT4,124
AI,Human,Crossplag,NA,GPT3,632
Human,Human,Crossplag,Yes,Human,749
AI,Human,GPTZero,NA,GPT4,81
AI,Human,OriginalityAI,NA,GPT3,71
AI,AI,Quil,NA,GPT4,728
AI,Human,HFOpenAI,NA,GPT4,378
Human,Human,ZeroGPT,Yes,Human,104
AI,Human,HFOpenAI,NA,GPT4,311
Human,Human,HFOpenAI,No,Human,546
Human,Human,ZeroGPT,Yes,Human,448
AI,AI,Quil,NA,GPT4,109
AI,AI,Crossplag,NA,GPT3,571
